title,description,poster_url
Goli Soda 2,"The story revolves around the lives of 3 young friends, who struggle to establish themselves in the real world. They are working to make it big until they get caught up in a certain situation, only to get rescued by a common friend.",https://image.tmdb.org/t/p/w500/3lILfSf26IMQGwtaYTNYJm8V0uk.jpg
Kon-Tiki,"Legendary explorer Thor Heyerdahl's epic 4,300-mile crossing of the Pacific on a balsawood raft in 1947, in an effort to prove that it was possible for South Americans to settle in Polynesia in pre-Columbian times.",https://image.tmdb.org/t/p/w500/tphF7lJZys5ij9BHivbxsqmPiOo.jpg
Symphonys Target,"A young woman (Symphony) living in Atlanta has a loving boyfriend, great friends and a Grandmother who worries like any other. But one night things change Symphony's life forever. A choice has to be made, kill or be killed.",https://via.placeholder.com/300x450.png?text=No+Image
Web of Deceit,"By taking away everything in life that matters to him, Ex-SBS Operative, Brett Gunner,is tricked into doing one more mission, which leads to breaking an undercover drug smuggling operation, but also breaking the world he wants back.",https://image.tmdb.org/t/p/w500/eJrpOTCbJr6xg1DLGNm7pv2C87i.jpg
Lone Survivor,"Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",https://image.tmdb.org/t/p/w500/zaBIrloyhGK7iNTZMb3f9SARsl8.jpg
Asuran,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.",https://image.tmdb.org/t/p/w500/Elnp3XrAlMM30dil8rbL7D9XeP.jpg
The Mercy Man,"A copycat serial killer is stalking Manhattan. When an old friend of NYPD undercover cop, Willy Diaz, aka 'The Mercy Man,' is murdered, Diaz embarks on an odyssey through the city's mean streets to catch the killer.",https://image.tmdb.org/t/p/w500/vowUpRpRhK2JWkjkNhKZqSXGOAS.jpg
Kamen Rider Amazons: Awakening,"Follows a mysterious Amazon hunter named Jin Takayama, the heavily-sheltered Haruka Mizusawa, and the Nozama Pest Control Service, a small group of mercenaries as they hunt down the awakening Amazons.",https://image.tmdb.org/t/p/w500/1ASf9tQlLcs0RE0MaSth3J5bECs.jpg
Padavettu,"The coming of age drama portray the relentless pursuit of the layman, the oppressed section of society who is in a constant struggle and fight to reclaim their unique identity and rightful place in a world meant for all.",https://image.tmdb.org/t/p/w500/wogAxtm3ELAiVFzyLsgMUoXTSK0.jpg
Ghost in the Shell: Arise - Border 1: Ghost Pain,"In this prequel set one year after the fourth World War, cyborg and hacker extraordinaire Motoko Kusanagi from the military's 501st Secret Unit finds herself wrapped up in the investigation of a devastating bombing.",https://image.tmdb.org/t/p/w500/p0kHK9nJoLzpqa6tqOzPgPkdxYN.jpg
Katutura,Katutura follows several characters experience the gravity of living in a Township where dreams are poised to die. As they remain hopeful in the face of adversity they are unaware their lives will collide in both hopeful and brutal ways.,https://image.tmdb.org/t/p/w500/zBuJAW3q5H9ppN1dJUjSo874yeG.jpg
We Were Soldiers,"The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news.",https://image.tmdb.org/t/p/w500/d5uupBAORxnFNbkNQ2G0Bi2cpY8.jpg
Revenge of the Dudek,"In a galaxy far, far away. - but not really. It is a time of conflict. Math teacher David Dudek, along with Sigurd and Ørjan have been kidnapped by General Grevost, but hey, it is David. Getting out of there will be no problem.",https://via.placeholder.com/300x450.png?text=No+Image
36th Precinct,"2 cops are promised by the retiring chief of the Paris police that the one, getting the violent gang robbing armored trucks, will get his job. The 2 will do whatever it takes to get the promotion, even if it means breaking the law.",https://image.tmdb.org/t/p/w500/8TGPyv6wUg6zpJe0XfBf4pPwI2y.jpg
Infinitium,"In a world of darkness and fear, ruled by mercenary's and savages, the search for the ring of INFINITIUM, has led a girl and her friends to a forsaken land, after discovering the secret of the ring, she must reach safety.",https://via.placeholder.com/300x450.png?text=No+Image
Brumville,"Brumville follows Connor Cutire and his two childhood friends Lee and Mikey. Connor and Lee want to make as much money as fast as possible selling drugs to eventually move away, go legit and move in to real eastate, with Mikey the accountant doing all the paperwork for them. But as Connor highlights in the film ""life is never that simple.",https://via.placeholder.com/300x450.png?text=No+Image
Maa Nanna Naxalite,"It is an emotional journey of an aging Naxalite leader Kondarudra Seetharamayya, who wants to meet his son in his last days . Police are in pursuit of him as he eliminated a political personality who is the father of Home minister.",https://image.tmdb.org/t/p/w500/uiPbzoyhAcFiSmRoezLxv8BJGqZ.jpg
Code Name Oracle,"130 A.D. a man dies on the banks of the Nile, creating a cult which will change the face of civilization. Now an archaeologist and the greatest computer hacker have stumbled onto a secret that powerful forces will kill to protect.",https://via.placeholder.com/300x450.png?text=No+Image
Allied,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",https://image.tmdb.org/t/p/w500/sV4lXM32quwminL3TP36nlNPp7Q.jpg
Nasoor,"Sherhryar Shah, a police officer, is on a mission to solve the hidden knots of the case of an impostor, who he trusted the most. A chess game of black and white where a single step is crucial because there is no road to return.",https://via.placeholder.com/300x450.png?text=No+Image
Catatan (Harian) Si Boy,"Satrio (Ario Bayu) and Natasha (Carissa Puteri) met in an incident. Satrio who is interested in Natasha decides to help her to find the owner of the book that was given by her mom, which turns out to be a diary of a man named ""Boy"".",https://image.tmdb.org/t/p/w500/fLrozEkIlYXFZLcFRBOXmuvkgKs.jpg
The Paths of Kripto,A new enemy that belongs to the same breed as Kripto emerges. Kripto must find a way to travel to a desolated world in order to stop his enemy. On his travel he reunites with a friend who carries valuable information.,https://via.placeholder.com/300x450.png?text=No+Image
Nachindi Girl Friendu,"Raja Ram's life takes a turn in the span of 12 hours. Sandhya is an independent software developer who created IID - If I die, that pays tribute to the Indian Army soldiers. Will he win his love or will he lose his life in the process?",https://image.tmdb.org/t/p/w500/kOyQqVenAMDjzXxOCYAVrMF4Cjh.jpg
Avengers: Age of Ultron,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",https://image.tmdb.org/t/p/w500/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg
